recommended_action,accounts,avg_calibrated_prob,avg_raw_prob,balance_proxy_total,expected_gross_recovery_total,expected_net_recovery_total,contact_cost_total,actual_payer_rate,expected_roi
High Priority (Agent Call),722,0.10172995486426813,0.47228595129261774,45265000,1146376.231068211,1085006.231068211,61370.0,0.08310249307479224,17.6797495693044
Medium Priority (Auto-Dialer),1685,0.09555001003215897,0.46414746586031114,56572500,1013305.487156559,993085.487156559,20220.0,0.09673590504451039,49.11402013632834
Low Priority (SMS/Email),1203,0.08891027430816473,0.4470654307065384,23047500,192273.05355248065,190468.55355248065,1804.5,0.08395677472984206,105.55198312689423
Write-off / Ignore,402,0.12180683446282922,0.5279042196886079,1905000,0.0,0.0,0.0,0.10696517412935323,0.0
