model_name,model_role,roc_auc,brier,log_loss,recall,precision,expected_net_recovery_total,expected_roi,threshold
baseline_logistic_regression,baseline,0.6994178605986827,0.08442013536643628,0.2986044051976523,0.7415254237288136,0.15404929577464788,1467879.62,29.3459,0.09
deep_mlp,challenger,0.706296625776446,0.08694889902450693,0.3210947938810848,0.7457627118644068,0.15770609318996415,1404720.08,28.0832,0.05
xgboost,challenger,0.7304522895402191,0.09100884413134575,0.34812256294460464,0.6271186440677966,0.18339529120198264,1270095.72,25.3918,0.05
balanced_random_forest,challenger,0.7161446140400163,0.08551608326406633,0.30536902665797033,0.7542372881355932,0.16007194244604317,1241415.45,24.8184,0.05
