model_name,roc_auc,brier,recall,precision,expected_net_recovery_total,expected_roi,threshold
xgboost,0.7089615132503044,0.08318360413104363,0.7372881355932204,0.15919487648673375,1555044.16,31.0884,0.09
balanced_random_forest,0.7075451821331586,0.0841248088113334,0.7330508474576272,0.1543264942016057,1460440.18,29.1971,0.08
