recommended_action,accounts,avg_calibrated_prob,avg_raw_prob,balance_proxy_total,expected_gross_recovery_total,expected_net_recovery_total,contact_cost_total,actual_payer_rate,expected_roi
High Priority (Agent Call),722,0.15439731608799925,0.5320549,36587500,1464962.3238177304,1403592.3238177304,61370.0,0.12880886426592797,22.870984582332255
Medium Priority (Auto-Dialer),1685,0.10758995174593879,0.41243252,57300000,1046327.119003132,1026107.119003132,20220.0,0.09910979228486647,50.74713743833492
Low Priority (SMS/Email),1203,0.07873052836521871,0.30467206,27757500,147869.8968611637,146065.3968611637,1804.5,0.0714879467996675,80.94508000064488
Write-off / Ignore,402,0.05522324246316789,0.22619717,5145000,0.0,0.0,0.0,0.05223880597014925,0.0
