feature,importance
birth_yr,0.12948512949320293
district,0.051280429687938
purchased_bal_gp,0.04218432177257492
last_act_closing_m,0.023918173901017782
co_closing_m,0.021263871601948092
last_pay_date_client_closing_m,0.01162915867729677
multiple_acct,0.010063130038909662
home_phone_flag,0.00852692838160598
mobile_phone_flag,0.0035272087103755513
open_closing_m,0.0032323775991149883
